Order_ID,Order_Date,Customer_ID,Product,Category,Region,Quantity,Unit_Price,Discount,Net_Revenue,Total_Cost,Profit,Profit_Margin,Year_Month,Day_Name
ORD_00001,2024-04-12,CUST_0115,Keyboard,Electronics,East,6,2000,0.15,10200.0,7140.0,3060.0,30.0,2024-04,Friday
ORD_00002,2025-03-11,CUST_0051,Monitor,Electronics,North,2,20000,0.05,38000.0,26600.0,11400.0,30.0,2025-03,Tuesday
ORD_00003,2024-09-27,CUST_0369,Printer,Accessories,South,7,15000,0.1,94500.0,66150.0,28350.0,30.0,2024-09,Friday
ORD_00004,2024-04-16,CUST_0402,Mouse,Accessories,North,5,800,0.15,3400.0,2380.0,1020.0,30.0,2024-04,Tuesday
ORD_00005,2024-03-12,CUST_0171,Keyboard,Accessories,West,6,2000,0.1,10800.0,7559.999999999999,3240.000000000001,30.00000000000001,2024-03,Tuesday
ORD_00006,2025-12-01,CUST_0268,Mouse,Accessories,South,8,800,0.1,5760.0,4031.9999999999995,1728.0000000000005,30.00000000000001,2025-12,Monday
ORD_00007,2024-01-21,CUST_0003,Mouse,Electronics,North,8,800,0.15,5440.0,3807.9999999999995,1632.0000000000005,30.00000000000001,2024-01,Sunday
ORD_00008,2025-09-06,CUST_0210,Monitor,Accessories,North,3,20000,0.15,51000.0,35700.0,15300.0,30.0,2025-09,Saturday
ORD_00009,2024-05-01,CUST_0376,Keyboard,Accessories,East,7,2000,0.2,11200.0,7839.999999999999,3360.000000000001,30.00000000000001,2024-05,Wednesday
ORD_00010,2025-04-11,CUST_0486,Printer,Electronics,West,1,15000,0.0,15000.0,10500.0,4500.0,30.0,2025-04,Friday
ORD_00011,2024-08-02,CUST_0391,Monitor,Accessories,South,1,20000,0.2,16000.0,11200.0,4800.0,30.0,2024-08,Friday
ORD_00012,2024-11-26,CUST_0481,Printer,Electronics,North,7,15000,0.0,105000.0,73500.0,31500.0,30.0,2024-11,Tuesday
ORD_00013,2025-04-03,CUST_0390,Laptop,Electronics,North,9,60000,0.15,459000.0,321300.0,137700.0,30.0,2025-04,Thursday
ORD_00014,2024-03-28,CUST_0338,Mouse,Accessories,West,7,800,0.0,5600.0,3919.9999999999995,1680.0000000000005,30.00000000000001,2024-03,Thursday
ORD_00015,2025-01-07,CUST_0301,Laptop,Accessories,South,5,60000,0.05,285000.0,199500.0,85500.0,30.0,2025-01,Tuesday
